Region,Cohens_d_Real_FDG,Cohens_d_Synthetic_FDG,Cohens_d_ASL,n_hc,n_mci
Amygdala,-0.5059244863487412,-0.5942359279105959,0.0817527811789872,31,51
CC_Anterior,-0.20507121100835107,-0.1529731916343706,-0.10523249187422175,31,51
CC_Central,0.6214609883015305,0.6157004525067403,0.1271492301143013,31,51
CC_Mid_Anterior,0.19217838052853253,0.3498581828321756,0.08875022514780166,31,51
CC_Mid_Posterior,0.1891376106020691,0.44059636078646247,0.012721693208582574,31,51
CC_Posterior,0.38432409624906466,0.38772982741077733,-0.38399197986896494,31,51
Caudate,-0.07255298813136317,0.0651087058516196,-0.29171940104410254,31,51
Hippocampus,-0.8911316235094684,-0.7500992940736086,0.07482153374035197,31,51
Pallidum,0.33121731777267316,0.5506698521793633,0.24272922787979123,31,51
Thalamus,0.20577677715467538,0.038802679715732924,-0.357599223723716,31,51
caudalanteriorcingulate,-0.05069062640722949,-0.10614733280039597,-0.2117826186455317,31,51
caudalmiddlefrontal,-0.21900736936496484,-0.2932978348426739,-0.703697658472597,31,51
cuneus,0.2086974940813149,0.0620267129288773,-0.4498427962885564,31,51
entorhinal,-0.3220378440118312,-0.32966164224954314,0.04472468337901061,31,51
fusiform,0.17519439169511095,-0.1741110922174052,0.11584559883105933,31,51
inferiorparietal,-0.04747129202865551,0.10265809509281096,-0.37299722222091103,31,51
inferiortemporal,-0.03392129902691068,-0.12090446650010092,0.0845166478335031,31,51
insula,-0.15691754914877498,-0.42438659356712527,-0.42381620865308633,31,51
isthmuscingulate,-0.28148918318555133,-0.13071717959571694,-0.7995332088365408,31,51
lateraloccipital,0.2018943169408784,-0.17356707554563458,-0.3848415489318104,31,51
lateralorbitofrontal,-0.0894400756022132,-0.15980992136031516,-0.2624682553180719,31,51
lingual,0.41384503455875465,0.01155125084357773,-0.0479850650024073,31,51
medialorbitofrontal,-0.03311773140786894,-0.018623077012460527,-0.2327076288964833,31,51
middletemporal,-0.3310123981878048,-0.6378273430045485,-0.2376214801312993,31,51
paracentral,0.571880342332942,0.4020811237592937,-0.5297234727272527,31,51
parahippocampal,-0.1481561056657374,-0.1086510491995779,0.1210422679787209,31,51
parsopercularis,-0.5649081791220338,-0.7424153246710914,-0.42962039503634736,31,51
parsorbitalis,-0.2081161960909511,-0.5257042522305612,-0.5587084530857966,31,51
parstriangularis,-0.3378227841405221,-0.49439369206198164,-0.6461222053707066,31,51
pericalcarine,0.35692893212415094,0.0016041507437075371,-0.35544515060633697,31,51
postcentral,-0.16827709072955552,-0.45091841858502724,-0.4564862178212991,31,51
posteriorcingulate,0.25775004980468963,0.2221663097586372,-0.6333433372688622,31,51
precentral,-0.12157983882008118,-0.3950627290249688,-0.5278565030245951,31,51
precuneus,-0.09973594735026173,0.14763237127340606,-0.7221901857469449,31,51
rostralanteriorcingulate,-0.3924111038542828,-0.36692303121196096,-0.32126295831128576,31,51
rostralmiddlefrontal,-0.26665642270266526,-0.48400836591007185,-0.723968356834124,31,51
superiorfrontal,0.1020952824529205,-0.06041486755787886,-0.7748047425719402,31,51
superiorparietal,0.02687623221420452,0.08973637128244759,-0.7346834807841333,31,51
superiortemporal,-0.4175630099252767,-0.7075159030945125,-0.06441353215993477,31,51
supramarginal,-0.21592372349084946,-0.35734403074857585,-0.3738348159877947,31,51
transversetemporal,-0.5134747119889611,-0.7009844652543615,-0.4394769087700914,31,51
