Region,Congruency_ASL,Congruency_FlowGAN,Congruency_Diff
Amygdala,0.5176470588235295,0.611764705882353,0.09411764705882353
Caudate,0.4823529411764706,0.4823529411764706,0.0
Hippocampus,0.5529411764705883,0.6588235294117647,0.10588235294117643
Pallidum,0.6470588235294118,0.6,-0.04705882352941182
Thalamus,0.5529411764705883,0.47058823529411764,-0.08235294117647063
caudalanteriorcingulate,0.4,0.611764705882353,0.21176470588235297
caudalmiddlefrontal,0.4823529411764706,0.7529411764705882,0.27058823529411763
cuneus,0.6823529411764706,0.8117647058823529,0.12941176470588234
entorhinal,0.47058823529411764,0.7411764705882353,0.2705882352941177
fusiform,0.5176470588235295,0.6823529411764706,0.16470588235294115
inferiorparietal,0.611764705882353,0.8117647058823529,0.19999999999999996
inferiortemporal,0.5294117647058824,0.9058823529411765,0.3764705882352941
insula,0.6352941176470588,0.7058823529411765,0.07058823529411773
isthmuscingulate,0.5647058823529412,0.6235294117647059,0.05882352941176472
lateraloccipital,0.5647058823529412,0.9058823529411765,0.3411764705882353
lateralorbitofrontal,0.5176470588235295,0.7058823529411765,0.18823529411764706
lingual,0.5529411764705883,0.7176470588235294,0.16470588235294115
medialorbitofrontal,0.4117647058823529,0.7294117647058823,0.3176470588235294
middletemporal,0.5764705882352941,0.9529411764705882,0.3764705882352941
paracentral,0.5647058823529412,0.7294117647058823,0.16470588235294115
parahippocampal,0.5764705882352941,0.7529411764705882,0.17647058823529416
parsopercularis,0.5294117647058824,0.8352941176470589,0.3058823529411765
parsorbitalis,0.4235294117647059,0.7647058823529411,0.34117647058823525
parstriangularis,0.5647058823529412,0.8352941176470589,0.2705882352941177
pericalcarine,0.5882352941176471,0.6588235294117647,0.07058823529411762
postcentral,0.5411764705882353,0.8705882352941177,0.3294117647058824
posteriorcingulate,0.49411764705882355,0.5882352941176471,0.09411764705882353
precentral,0.47058823529411764,0.7647058823529411,0.2941176470588235
precuneus,0.6470588235294118,0.8,0.15294117647058825
rostralanteriorcingulate,0.5411764705882353,0.4470588235294118,-0.09411764705882347
rostralmiddlefrontal,0.47058823529411764,0.7294117647058823,0.2588235294117647
superiorfrontal,0.4470588235294118,0.6823529411764706,0.23529411764705882
superiorparietal,0.5764705882352941,0.8235294117647058,0.24705882352941178
superiortemporal,0.6235294117647059,0.8352941176470589,0.21176470588235297
supramarginal,0.5529411764705883,0.8941176470588236,0.3411764705882353
transversetemporal,0.5294117647058824,0.7647058823529411,0.23529411764705876
