mean_ratio,std_ratio,median_ratio,n_congruent,n_amplified,n_preserved,n_attenuated,pct_amplified,pct_preserved,pct_attenuated,Region
1.579952760082376,1.8885101385408016,0.8133137597325157,42,15,6,20,36.58536585365854,14.634146341463413,48.78048780487805,Hippocampus
2.2655438831458037,2.744095099888865,1.2414004150205356,46,23,9,13,51.11111111111111,20.0,28.888888888888886,parahippocampal
2.090966104268864,3.09236356451413,0.8500824773578824,35,12,7,16,34.285714285714285,20.0,45.714285714285715,Amygdala
1.6643452231120717,2.001249880138381,0.8131621675969612,42,16,4,19,41.02564102564102,10.256410256410255,48.717948717948715,insula
