Region,Spearman_r_FlowGAN,Bias_FlowGAN,Spearman_r_ASL,Bias_ASL,Corr_Diff
Amygdala,0.30327900141237546,0.007396866099172513,0.31133335878153984,0.012208673469279037,-0.008054357369164378
Caudate,0.7171050120242775,0.005295212234574925,0.23727907775699505,0.017229316891389453,0.4798259342672824
Hippocampus,0.4197808909417109,0.0116044979365668,0.2754132152536549,0.013647785153835721,0.14436767568805597
Pallidum,0.48043669122418586,0.002139405324421967,0.2125815933122113,-0.004071910129576729,0.2678550979119746
Thalamus,0.22659083101118443,0.0010839156930861214,0.25426575562087256,0.008758838309095282,-0.027674924609688123
caudalanteriorcingulate,0.46047257319540397,0.009049398973867903,0.39439630492041067,0.02669371709402099,0.0660762682749933
caudalmiddlefrontal,0.4986448830018703,0.0036328131411897165,0.46123601939153336,0.014054081655475191,0.03740886361033696
cuneus,0.8054739092262472,-0.0017203138488700862,0.43306485475436113,-0.0020446232592152276,0.37240905447188605
entorhinal,0.40069473603847766,0.009555685463579709,0.18379967171813563,0.016940552688506902,0.21689506432034203
fusiform,0.28655952971714316,0.003913235011535986,0.165247929152193,0.0019608712357013372,0.12131160056495016
inferiorparietal,0.3578272321258159,0.0042245978133304204,0.3529793487803947,-0.006397868737714071,0.004847883345421189
inferiortemporal,0.3547352750314921,0.008343002035195226,0.33534374164980724,0.009173495977191049,0.019391533381684867
insula,0.37569187311524216,0.00825691763771838,0.4037103485131885,0.02407014135238999,-0.02801847539794633
isthmuscingulate,0.5492995381150513,0.004754396498486664,0.4587929915639194,0.020938172997799605,0.09050654655113188
lateraloccipital,0.644959346490056,0.0035772942526972793,0.4551284498224987,-0.007564063009182439,0.18983089666755731
lateralorbitofrontal,0.32858724281406265,0.004861598430674211,0.11779974806275528,-0.006587058818098224,0.21078749475130737
lingual,0.7056914913921442,0.005118601775831459,0.3010268351337939,0.009539162434456927,0.40466465625835024
medialorbitofrontal,0.6354544413482459,0.0009523244693340697,0.5320456540825286,-0.03852706935224156,0.10340878726571734
middletemporal,0.34752070847807,0.006628542341005125,0.3540100011451693,0.024015815828637387,-0.0064892926670993
paracentral,0.5702179638889948,0.00236617919996583,0.4531434897125624,0.014931039036541301,0.11707447417643241
parahippocampal,0.35965950299652627,0.008963607370290054,-0.014658166965683093,0.0012793169094039063,0.3743176699622094
parsopercularis,0.620643585143337,0.00042625067384550514,0.23407260373325187,0.024619366263053163,0.38657098141008506
parsorbitalis,0.42699545749513296,-0.004229273758733672,0.2370882162079627,0.018037216650991755,0.18990724128717026
parstriangularis,0.3527503149215559,0.008416426376569081,0.3952360957361529,0.029783761591103165,-0.04248578081459703
pericalcarine,0.3021720044279879,0.0008044134982347645,0.05714394778028018,0.012237043886172517,0.24502805664770774
postcentral,0.5368171928083368,0.008271055518078264,0.16761461236019387,0.0249485461462879,0.36920258044814297
posteriorcingulate,0.43692025804481427,0.004919087924469801,0.28060464938733437,0.02586790484069884,0.1563156086574799
precentral,0.548459747299309,0.005485982471511885,0.3244646333549643,0.0299201779623381,0.22399511394434474
precuneus,0.48639157155399465,0.0029805112690350142,0.21639882429285792,0.0003126270283081655,0.26999274726113676
rostralanteriorcingulate,0.33290071382219333,0.0024219191587702433,0.32725121197083634,-0.012893096733269719,0.005649501851356986
rostralmiddlefrontal,0.5129594991792953,0.0036943031247625444,0.4035194869641561,0.014427441529965548,0.10944001221513916
superiorfrontal,0.43951597511165397,0.005483006640881203,0.3455739206779402,0.008743667949877607,0.09394205443371378
superiorparietal,0.5727755086460281,0.004387364975456163,0.3909226247280222,-0.010728930302436226,0.18185288391800591
superiortemporal,0.22071229530098865,0.00904776203582168,0.4060770317211895,0.028063446648032318,-0.18536473642020082
supramarginal,0.39351834179486195,0.008605327235261404,0.17574531434897123,0.015532678405231962,0.21777302744589072
transversetemporal,0.29156010230179025,0.006701735530422187,0.07894033667977249,0.013877970116496692,0.21261976562201776
