Region,Spearman_r_FlowGAN,Bias_FlowGAN,Spearman_r_ASL,Bias_ASL,Corr_Diff
Accumbens,0.4564644806657251,-0.0005798336219055942,0.3673703095774325,-0.19602753154200744,0.0890941710882926
Amygdala,0.01889529335420086,-0.025212946073285045,-0.07046608390273695,-0.46735798354543656,0.08936137725693781
AngularGyrus,0.30633278619689275,-0.01881675936250772,0.41443676756880554,-0.47111698054256457,-0.1081039813719128
Brain-Stem,0.1979615986563347,-0.028217746914398798,0.11417337863114095,-0.23817425784813573,0.08378822002519375
Caudate,0.6010611902126197,0.021742646632874996,0.3518723517960072,-0.05310208914921947,0.24918883841661255
CentralOpercularCortex,0.3015612474710844,-0.06402307804925925,-0.01519257930297362,-0.41391277448550723,0.31675382677405806
CingulateGyrusanteriordivision,0.43222506393861887,-0.03364026615585308,0.3040042752986983,-0.54876743067268,0.1282207886399206
CingulateGyrusposteriordivision,0.3599267091651715,-0.04373608307356589,0.3876016337748597,-0.5780361310873381,-0.02767492460968818
CunealCortex,0.24319578577699733,-0.06598769416911518,0.360461121502462,-0.522723200746061,-0.11726533572546469
FrontalMedialCortex,0.053212199870214145,-0.013486543174248281,0.2564415772798412,-0.43787575527959366,-0.20322937740962704
FrontalOperculumCortex,0.37874565789975945,-0.030185403883504984,0.29159827461159676,-0.2915494389550295,0.08714738328816268
FrontalOrbitalCortex,0.19387716150704276,-0.0008222353821117063,0.3538954842157499,-0.28626942567157176,-0.16001832270870714
FrontalPole,0.28942245295262814,0.008405997270258094,0.4443256861472687,-0.3122709577121742,-0.15490323319464055
HeschlsGyrus,0.26854219948849106,-0.03733717590207353,0.00813070198877734,-0.36400524242937926,0.2604114974997137
Hippocampus,0.0593961140588617,-0.04242421553371682,0.008703286635874335,-0.5063667737528817,0.05069282742298736
InferiorFrontalGyrusparsopercularis,0.3185860976447685,-0.00495576921227248,0.3973355727755086,-0.5171212124083562,-0.07874947513074015
InferiorFrontalGyrusparstriangularis,0.19116692751078365,0.009896815786642678,0.4108103981371912,-0.49434915512178584,-0.21964347062640757
InferiorTemporalGyrusanteriordivision,0.18723517960071762,0.022154040681940386,0.27025995342978204,-0.2675389754907389,-0.08302477382906442
InferiorTemporalGyrusposteriordivision,0.15765163950070618,0.03556873966714746,0.18723517960071762,-0.3163951010503234,-0.029583540100011435
InferiorTemporalGyrustemporooccipitalpart,0.25781578043287395,-0.006128097545452888,0.22804137878383018,-0.4011986543069589,0.02977440164904377
InsularCortex,0.35114707790968425,-0.05331133407620559,0.16895064320342024,-0.3816472853077114,0.182196434706264
IntracalcarineCortex,0.33580180936748477,-0.04203083942383884,0.4753979463297324,-0.489498121489259,-0.13959613696224765
JuxtapositionalLobuleCortex,0.37958544871550176,-0.02737917649429187,0.31908233767225247,-0.4347956348176174,0.06050311104324929
LateralOccipitalCortexinferiordivision,0.208955223880597,-0.006879321276177454,0.3015994197808909,-0.49071162375025484,-0.09264419590029388
LateralOccipitalCortexsuperiordivision,0.3398480742069702,-0.01782478058747309,0.524640225980074,-0.4033823008348212,-0.18479215177310376
