split,n_regions,mean_abs_d_real,mean_abs_d_synth,mean_abs_d_asl,n_synth_gt_asl_magnitude,corr_real_asl,corr_synth_asl
pooled,55,0.8943780996156101,0.5508944884654883,0.6404879694515228,21,0.21803751803751809,0.4794372294372295
dev,55,0.8901783423993703,0.5891959523431639,0.7241771858013653,17,0.3808080808080809,0.5325396825396828
holdout,55,1.4368603947952328,0.8772472627568983,0.6306679166254842,32,0.0764790764790765,0.21738816738816744
