split,n_regions,synth_mean,asl_mean,n_synth_gt_asl,wilcoxon_p,cohens_d_paired
pooled,55,0.7749732620320856,0.6344385026737969,50,1.742141975656946e-09,1.4527917875545
dev,55,0.7733674775928296,0.6248399487836107,51,1.515470394378979e-09,1.4772930814313059
holdout,55,0.7831168831168832,0.6831168831168831,32,5.4201534893312746e-05,0.5967611099442202
