split,n_regions,synth_median,synth_iqr,asl_median,asl_iqr,wilcoxon_p,cohens_d_paired,n_synth_gt_asl
pooled,55,0.46044557357826854,"(0.3421340629274966, 0.5600840336134454)",0.22466288841117843,"(0.07846394371702169, 0.32504397107680283)",3.301594206732621e-10,1.5451870698109926,52
dev,55,0.4853454057679409,"(0.3972501676727028, 0.5753521126760563)",0.22159624413145537,"(0.12442991281019448, 0.3219651240778001)",1.2369705364211743e-10,1.6954228774307654,54
holdout,55,0.39780219780219783,"(0.015384615384615387, 0.621978021978022)",0.2,"(0.01978021978021978, 0.39780219780219783)",0.006977500272293951,0.34291014721547924,34
