split,n_regions,mean_abs_d_real,mean_abs_d_synth,mean_abs_d_asl,n_synth_gt_asl_magnitude,corr_real_asl,corr_synth_asl
pooled,55,0.3569840102247354,0.33027959683327085,0.19229635620160232,35,-0.3287157287157288,-0.24430014430014435
dev,55,0.3475949905542278,0.38887028636776394,0.27735772691558497,31,-0.08434343434343436,-0.22756132756132763
holdout,55,0.517041827805866,0.4138793120135988,0.6930749011971025,11,-0.2278499278499279,-0.1666666666666667
