split,n_regions,mean_abs_d_real,mean_abs_d_synth,mean_abs_d_asl,n_synth_gt_asl_magnitude,corr_real_asl,corr_synth_asl
pooled,41,0.26667483019669314,0.3158200133861145,0.3549227169099477,17,0.1259581881533101,0.11602787456445995
dev,41,0.2990287836792571,0.36416245837348094,0.39280843075810645,18,0.24721254355400704,0.09982578397212546
holdout,41,0.7206837195894908,0.5291584458307144,0.5210134363815966,23,-0.17578397212543556,0.28885017421602793
