split,n_regions,synth_mean,asl_mean,n_synth_gt_asl,wilcoxon_p,cohens_d_paired
pooled,36,0.7294117647058824,0.5392156862745101,32,6.918790111727353e-07,1.508674337127982
dev,36,0.7261345852895149,0.5309076682316118,31,8.193515008449732e-07,1.4536542706852225
holdout,36,0.7460317460317459,0.5813492063492064,28,9.461544945460349e-05,0.8885587147279052
