split,n_regions,synth_mean,asl_mean,n_synth_gt_asl,wilcoxon_p,cohens_d_paired
pooled,36,0.6658496732026145,0.6033496732026145,31,1.4428873575036644e-05,0.9636717486128511
dev,36,0.6657088122605365,0.6048850574712643,27,2.732381078587292e-05,0.8827548841948465
holdout,36,0.6666666666666665,0.5944444444444444,21,0.02750260885783799,0.38807328670360486
