split,n_regions,synth_mean,asl_mean,n_synth_gt_asl,wilcoxon_p,cohens_d_paired
pooled,55,0.7641711229946524,0.674331550802139,47,4.630830659945779e-09,1.055389383000055
dev,55,0.7564263322884013,0.6686520376175548,47,1.6096020541533075e-08,0.9445907045393706
holdout,55,0.809090909090909,0.7072727272727273,33,0.00019273133206644132,0.5442672543506022
