split,n_regions,synth_median,synth_iqr,asl_median,asl_iqr,wilcoxon_p,cohens_d_paired,n_synth_gt_asl
pooled,36,0.43195785776997364,"(0.35144291331068445, 0.5486696950032446)",0.31789899606825206,"(0.21544451654769625, 0.3973069435431537)",8.043716661632061e-07,1.0303303227106446,30
dev,36,0.4211449137162018,"(0.3475652896121074, 0.5371435602448553)",0.296471746285644,"(0.19245439724384017, 0.40442646651696457)",1.636421075090766e-06,0.9745280069827379,31
holdout,36,0.5212121212121212,"(0.2727272727272727, 0.7151515151515151)",0.309090909090909,"(0.10303030303030303, 0.5212121212121212)",0.006387067843258687,0.47598919709019333,25
