split,n_regions,mean_abs_d_real,mean_abs_d_synth,mean_abs_d_asl,n_synth_gt_asl_magnitude,corr_real_asl,corr_synth_asl
pooled,36,0.863675404522901,0.4297141789199305,0.659862659627113,7,0.3891891891891892,0.47593307593307593
dev,36,0.8402247303519715,0.47502232001800604,0.7499615416854832,7,0.3680823680823681,0.4957528957528957
holdout,36,1.232998125373283,0.8455214327669487,0.7608186769376507,18,0.2146718146718147,0.1541827541827542
