split,n_regions,synth_median,synth_iqr,asl_median,asl_iqr,wilcoxon_p,cohens_d_paired,n_synth_gt_asl
pooled,55,0.4254685651028744,"(0.3678856357598198, 0.5367790204985303)",0.2942703362980494,"(0.17288239111348624, 0.3645837309615605)",4.470187220708843e-08,0.9382260072619546,46
dev,55,0.43874004121935467,"(0.37887969485373285, 0.5539081485127195)",0.2928112215078902,"(0.19127010981574333, 0.38961518348764956)",2.0505034581737418e-07,0.8737069177347097,43
holdout,55,0.3939393939393939,"(0.16363636363636364, 0.6)",0.2121212121212121,"(-0.07272727272727272, 0.5030303030303029)",0.002740290690147225,0.48240716426169067,33
