split,n_regions,synth_median,synth_iqr,asl_median,asl_iqr,wilcoxon_p,cohens_d_paired,n_synth_gt_asl
pooled,36,0.30290209106898575,"(0.21704612077389096, 0.42678815712331447)",0.1456993284792286,"(0.08924738288987843, 0.2369260238787127)",1.862645149230957e-08,1.2605541463088297,31
dev,36,0.3272635814889336,"(0.21338866532528503, 0.4349765258215962)",0.1300358486818895,"(0.06918158567774937, 0.24810010960906104)",3.987224772572517e-09,1.365523996018618,33
holdout,36,0.31648351648351647,"(0.13076923076923078, 0.6263736263736264)",0.2774725274725275,"(0.1565934065934066, 0.42445054945054944)",0.4413570295437239,0.13481360030565767,22
